filename,lines_of_code,number_of_commits,number_of_authors,filetype,date_of_first_commit,date_of_last_commit
./packages/ember-views/lib/views/bound_partial_view.js,39,4,3,js,2014-12-21,2015-01-26
./packages/ember-views/lib/views/core_view.js,156,22,12,js,2014-06-06,2015-02-01
./packages/ember-views/lib/views/with_view.js,72,11,5,js,2014-11-09,2015-01-26
./packages/ember-views/lib/views/bound_component_view.js,50,4,3,js,2014-12-30,2015-01-31
./packages/ember-views/lib/views/metamorph_view.js,40,4,3,js,2014-11-10,2015-01-26
./packages/ember-views/lib/views/each.js,110,5,4,js,2014-11-17,2015-01-26
./packages/ember-views/lib/views/text_area.js,60,3,2,js,2014-11-15,2015-01-26
./packages/ember-views/lib/views/states/in_buffer.js,56,39,12,js,2011-12-12,2015-01-26
./packages/ember-views/lib/views/states/destroying.js,28,6,4,js,2012-12-08,2015-01-26
./packages/ember-views/lib/views/states/default.js,38,19,8,js,2011-12-12,2014-12-24
./packages/ember-views/lib/views/states/pre_render.js,10,32,14,js,2011-12-12,2015-01-26
./packages/ember-views/lib/views/states/has_element.js,71,10,6,js,2013-12-17,2015-01-26
./packages/ember-views/lib/views/states/in_dom.js,44,36,15,js,2011-12-12,2015-01-26
./packages/ember-views/lib/views/text_field.js,115,3,2,js,2014-11-15,2015-01-31
./packages/ember-views/lib/views/view.js,2236,392,82,js,2011-12-12,2015-02-01
./packages/ember-views/lib/views/bound_if_view.js,28,3,3,js,2014-12-21,2015-01-26
./packages/ember-views/lib/views/simple_bound_view.js,108,8,5,js,2014-11-17,2015-01-31
./packages/ember-views/lib/views/component.js,327,53,27,js,2013-06-21,2015-01-26
./packages/ember-views/lib/views/container_view.js,408,100,29,js,2011-12-12,2015-01-26
./packages/ember-views/lib/views/select.js,663,10,8,js,2014-11-20,2015-01-26
./packages/ember-views/lib/views/checkbox.js,71,3,2,js,2014-11-15,2015-01-26
./packages/ember-views/lib/attr_nodes/attr_node.js,65,2,2,js,2014-12-18,2014-12-31
./packages/ember-views/lib/attr_nodes/legacy_bind.js,32,2,2,js,2014-12-18,2015-02-02
./packages/ember-views/lib/mixins/view_target_action_support.js,55,5,4,js,2013-04-02,2014-09-23
./packages/ember-views/lib/mixins/component_template_deprecation.js,60,6,5,js,2013-12-08,2014-11-13
./packages/ember-views/lib/mixins/normalized_rerender_if_needed.js,40,2,1,js,2014-12-21,2014-12-24
./packages/ember-views/lib/mixins/text_support.js,341,5,4,js,2014-11-15,2015-01-26
./packages/ember-views/lib/system/render_buffer.js,600,92,30,js,2011-12-12,2015-02-01
./packages/ember-views/lib/system/lookup_partial.js,21,1,1,js,2014-12-21,2014-12-21
